VT, Credit card, 1097558, Billing disputes, 
VT, Debt collection, 1093761, Improper contact or sharing of info, 
VT, Credit reporting, 1085099, Credit reporting company's investigation, 
VT, Student loan, 1086038, Dealing with my lender or servicer, 
VT, Credit card, 1084264, Late fee, 
VT, Credit card, 1084655, Payoff process, 
VT, Consumer loan, 1082299, Managing the loan or lease, 
VT, Credit reporting, 1074874, Incorrect information on credit report, 
VT, Credit reporting, 1074873, Credit reporting company's investigation, 
VT, Money transfers, 1071870, Other transaction issues, 
VT, Debt collection, 1068277, Cont'd attempts collect debt not owed, 
VT, Credit reporting, 1063498, Incorrect information on credit report, 
VT, Credit card, 1062077, Billing disputes, 
VT, Credit card, 1060833, Transaction issue, 
VT, Bank account or service, 1059744, Deposits and withdrawals, 
VT, Credit reporting, 1049967, Incorrect information on credit report, 
VT, Debt collection, 1046674, Communication tactics, 
VT, Credit reporting, 1041548, Credit reporting company's investigation, 
VT, Credit reporting, 1030320, Incorrect information on credit report, 
VT, Debt collection, 1026292, Taking/threatening an illegal action, 
VT, Bank account or service, 1025465, Deposits and withdrawals, 
VT, Student loan, 1022709, Dealing with my lender or servicer, 
VT, Consumer loan, 1019526, Managing the loan or lease, 
VT, Debt collection, 1018433, Cont'd attempts collect debt not owed, 
VT, Debt collection, 1015827, Improper contact or sharing of info, 
VT, Debt collection, 1009541, Cont'd attempts collect debt not owed, 
VT, Credit card, 1007845, Delinquent account, 
VT, Debt collection, 1007991, Disclosure verification of debt, 
VT, Debt collection, 1008338, Cont'd attempts collect debt not owed, 
VT, Money transfers, 1004775, Fraud or scam, 
VT, Credit reporting, 1001423, Unable to get credit report/credit score, 
VT, Credit reporting, 998990, Incorrect information on credit report, 
VT, Credit reporting, 995330, Incorrect information on credit report, 
VT, Credit reporting, 995332, Incorrect information on credit report, 
VT, Credit reporting, 995331, Incorrect information on credit report, 
VT, Credit reporting, 992272, Unable to get credit report/credit score, 
VT, Credit reporting, 981929, Incorrect information on credit report, 
VT, Consumer loan, 979683, Problems when you are unable to pay, 
VT, Debt collection, 970936, Improper contact or sharing of info, 
VT, Debt collection, 970937, Improper contact or sharing of info, 
VT, Credit reporting, 969752, Credit monitoring or identity protection, 
VT, Debt collection, 966582, Communication tactics, 
VT, Bank account or service, 959946, Using a debit or ATM card, 
VT, Mortgage, 957467, Settlement process and costs, 
VT, Credit reporting, 951425, Unable to get credit report/credit score, 
VT, Student loan, 952105, Dealing with my lender or servicer, 
VT, Credit reporting, 947481, Unable to get credit report/credit score, 
VT, Credit reporting, 941663, Incorrect information on credit report, 
